NAME,pop_total,households_total,zcta
ZCTA5 95528,1415,562,95528
ZCTA5 95531,22491,7691,95531
ZCTA5 95536,3360,1299,95536
ZCTA5 95537,512,105,95537
ZCTA5 95538,1065,414,95538
ZCTA5 95540,14641,5696,95540
ZCTA5 95542,2831,1227,95542
ZCTA5 95543,401,241,95543
ZCTA5 95545,335,75,95545
ZCTA5 95546,2436,755,95546
ZCTA5 95547,1144,457,95547
ZCTA5 95548,934,369,95548
ZCTA5 95549,1090,362,95549
ZCTA5 95550,206,90,95550
ZCTA5 95551,1870,657,95551
ZCTA5 95552,433,225,95552
ZCTA5 95553,734,355,95553
ZCTA5 95554,352,148,95554
ZCTA5 95555,349,137,95555
ZCTA5 95556,854,293,95556
ZCTA5 95558,244,132,95558
ZCTA5 95559,0,0,95559
ZCTA5 95560,1350,643,95560
ZCTA5 95562,3384,1383,95562
ZCTA5 95563,584,169,95563
ZCTA5 95564,477,197,95564
ZCTA5 95565,891,315,95565
ZCTA5 95567,2349,876,95567
ZCTA5 95568,201,34,95568
ZCTA5 95569,190,120,95569
ZCTA5 95570,2480,1092,95570
ZCTA5 95571,112,48,95571
ZCTA5 95573,990,563,95573
ZCTA5 95585,598,245,95585
ZCTA5 95587,0,0,95587
ZCTA5 95589,1467,646,95589
ZCTA5 95595,307,92,95595
ZCTA5 95601,358,180,95601
ZCTA5 95602,19248,7543,95602
ZCTA5 95603,28195,11871,95603
ZCTA5 95604,24,12,95604
ZCTA5 95605,14711,4846,95605
ZCTA5 95606,230,111,95606
ZCTA5 95607,271,104,95607
ZCTA5 95608,63052,25856,95608
ZCTA5 95610,46759,17625,95610
ZCTA5 95612,1519,451,95612
ZCTA5 95613,0,0,95613
ZCTA5 95614,4504,1701,95614
ZCTA5 95615,978,390,95615
ZCTA5 95616,51863,18356,95616
ZCTA5 95618,27007,10282,95618
ZCTA5 95619,6362,2557,95619
ZCTA5 95620,22367,7805,95620
ZCTA5 95621,41747,16631,95621
ZCTA5 95623,4725,1659,95623
ZCTA5 95624,68036,20257,95624
ZCTA5 95625,248,120,95625
ZCTA5 95626,4974,1728,95626
ZCTA5 95627,3935,1140,95627
ZCTA5 95628,43783,16896,95628
ZCTA5 95629,1047,491,95629
ZCTA5 95630,77952,29215,95630
ZCTA5 95631,6934,2728,95631
ZCTA5 95632,31889,10081,95632
ZCTA5 95633,2653,1160,95633
ZCTA5 95634,3792,1716,95634
ZCTA5 95635,1424,558,95635
ZCTA5 95636,1387,480,95636
ZCTA5 95637,374,177,95637
ZCTA5 95638,2295,843,95638
ZCTA5 95639,286,67,95639
ZCTA5 95640,12811,3934,95640
ZCTA5 95641,2086,890,95641
ZCTA5 95642,7350,3050,95642
ZCTA5 95645,1363,498,95645
ZCTA5 95646,406,115,95646
ZCTA5 95648,56597,21316,95648
ZCTA5 95650,13314,5085,95650
ZCTA5 95651,623,218,95651
ZCTA5 95652,1665,412,95652
ZCTA5 95653,682,229,95653
ZCTA5 95655,5029,1634,95655
ZCTA5 95658,6197,2332,95658
ZCTA5 95659,673,257,95659
ZCTA5 95660,35668,10840,95660
ZCTA5 95661,32599,13212,95661
